clave_micorsip,clave_empresa,nombre_articulo,descripcion,precio,nombre_imagen,unidad_medida,existencia,max,min,reorden
SIERR614R,,"SIERRA SABLE BIM 614R 6"" 3/4 LENOX 14.","SIERRA SABLE BIM 614R 6"" 3/4 LENOX 14.",25.57,,,80,80,30,50
SILIROJO280ML,,SILICON PENS-SIL. IND. A.TEMP ROJO 280ML,SILICON PENS-SIL. IND. A.TEMP ROJO 280ML,83.69,,,80,80,30,50
SILIBLANC280ML,,SILICON PEPE-SILICON M.USOS  BLANCO  280ML,SILICON PEPE-SILICON M.USOS  BLANCO  280ML,48.27,,,80,80,30,50
SILICTRANS280ML,,SILICON PEPE-SILICON M.USOS  TRANS  280ML,SILICON PEPE-SILICON M.USOS  TRANS  280ML,43.85,,,80,80,30,50
SWIT01,,SWITCH PALANCA C/CABLES (COLA DE RATA) FU0128 FULGORE1706 MON,SWITCH PALANCA C/CABLES (COLA DE RATA) FU0128 FULGORE1706 MON,66.93,,,80,80,30,50
SOLD1/2-1/2,,SOLDADURA 1/2 Y 1/2 OMEGA ZP106013 ROLLO 3 MTS 450 GRS,SOLDADURA 1/2 Y 1/2 OMEGA ZP106013 ROLLO 3 MTS 450 GRS,146.52,,,80,80,30,50
SOLD60131/8,,SOLDADURA 6013 1/8 VERDE C/10 KG,SOLDADURA 6013 1/8 VERDE C/10 KG,59.8,,,80,80,30,50
SPRAYNBBYP,,SPRAY BYP  NEGRO BRILLANTE ANB,SPRAY BYP  NEGRO BRILLANTE ANB,30.47,,,80,80,30,50
SPRAMAAOO,,SPRAY BYP AMARILLO AAO,SPRAY BYP AMARILLO AAO,43.23,,,80,80,30,50
SPRAZULBYPAMM,,SPRAY BYP AZUL METALICO AAM,SPRAY BYP AZUL METALICO AAM,44.14,,,80,80,30,50
SPRBLANBRI,,SPRAY BYP BLANCO BRILLANTE ABB,SPRAY BYP BLANCO BRILLANTE ABB,44.14,,,80,80,30,50
SPRAYNMBYP,,SPRAY BYP NEGRO MATE  ANM,SPRAY BYP NEGRO MATE  ANM,44.14,,,80,80,30,50
SPRAYNMBYP,,SPRAY BYP NEGRO MATE  ANM,SPRAY BYP NEGRO MATE  ANM,44.14,,,80,80,30,50
SPRBYPROJ,,SPRAY BYP ROJO BERMELLON ARB,SPRAY BYP ROJO BERMELLON ARB,30.47,,,80,80,30,50
SPRBYPVEROSC,,SPRAY BYP VERDE OSCURO AVO,SPRAY BYP VERDE OSCURO AVO,36.36,,,80,80,30,50
SUJECAB4,,"SUJETACABLE  4""","SUJETACABLE  4""",0.1,,,80,80,30,50
"SUJE14""",,"SUJETACABLE 14""","SUJETACABLE 14""",0.71,,,80,80,30,50
SUJETA8X.14,,SUJETACABLE 8x .14,SUJETACABLE 8x .14,0.37,,,80,80,30,50
TAPA2X4#86003,,TAPA 2 X 4 P/CONTACTO L.A. BAQUEL. #86003 LEVITON,TAPA 2 X 4 P/CONTACTO L.A. BAQUEL. #86003 LEVITON,7.48,,,80,80,30,50
TAPA2X4CIEGA,,TAPA 2X4 CIEGA METALICA LH 049965,TAPA 2X4 CIEGA METALICA LH 049965,6.87,,,80,80,30,50
TAPONC/REUSABLE,,TAPON AUDITIVO C/CORDON Y ESTUCHE REUSABLE,TAPON AUDITIVO C/CORDON Y ESTUCHE REUSABLE,9.66,,,80,80,30,50
TIJERB06,,TIJERAS #6 MANGO DE PLASTICO,TIJERAS #6 MANGO DE PLASTICO,56.21,,,80,80,30,50
TRAPKGCOLOR,,TRAPO INDUSTRIAL MUTILADO CAMISETA COLOR,TRAPO INDUSTRIAL MUTILADO CAMISETA COLOR,15.5,,,80,80,30,50
,,,,,,,,,,
ultima remision 1932,,,,,,,,,,
